,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
32,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,0,5,3,2,3,2,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,80,80,80,81,81,81,82,80,81,81,81,80,83,81,82,81,81,80,81,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
33,26,27,27,28,28,28,27,26,27,25,27,28,28,27,27,27,4,5,5,5,5,5,5,6,6,5,6,6,6,5,6,4,5,0,6,5,6,5,6,7,18,5,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,83,83,93,84,87,82,81,90,80,84,90,87,86,81,80,92,82,79,81,89,90,81,81,92,86,82,82,91,82,85,91,86,86,81,87,88,81,80,87
34,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,2,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,3,6,0,3,4,3,4,5,17,3,79,82,80,78,80,81,80,81,81,78,83,81,81,78,80,80,80,81,80,79,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
35,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,2,5,3,0,3,2,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,91,86,87,82,83,90,80,82,90,87,86,83,82,92,84,81,83,89,90,81,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
36,26,27,27,28,28,28,27,26,27,25,27,28,28,27,27,27,2,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,3,6,4,3,0,3,4,5,18,3,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,77,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
37,25,26,26,27,25,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,0,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
38,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,2,3,3,3,3,3,3,4,2,3,4,4,4,3,4,3,3,6,4,3,4,3,0,5,18,3,79,82,80,78,80,81,80,81,81,78,83,81,81,78,80,80,80,81,80,79,83,83,83,84,84,84,85,83,84,84,84,83,86,84,85,84,84,83,84,84,84,92,85,85,83,82,89,79,83,89,85,84,82,81,91,83,80,82,87,89,82,82,91,85,83,83,90,83,84,90,84,85,82,85,86,82,81,86
39,22,23,23,24,24,24,23,22,23,21,23,24,24,23,23,23,3,4,4,2,4,4,4,4,5,4,5,5,5,4,3,4,4,7,5,4,5,4,5,0,15,4,75,78,76,74,76,77,76,77,77,74,79,77,77,74,76,76,76,77,76,75,79,79,79,80,80,80,81,79,80,80,80,79,82,80,81,80,80,79,80,83,83,91,84,87,82,81,88,78,82,88,87,86,81,80,90,82,79,81,89,88,81,81,90,84,82,82,89,82,83,89,86,84,81,87,88,81,80,85
40,9,10,10,11,11,11,10,10,10,10,10,11,11,10,10,10,16,17,17,15,17,17,17,17,18,17,18,18,18,17,17,17,17,18,17,17,18,17,18,15,0,17,76,79,76,74,75,77,77,76,77,74,80,77,77,75,77,77,77,78,77,76,75,75,75,76,76,76,78,75,76,76,76,75,79,76,76,76,76,75,76,82,82,91,83,90,81,80,88,79,82,88,90,89,80,78,90,81,76,80,92,88,80,78,90,83,81,80,88,81,84,89,89,83,80,90,91,80,78,84
41,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,2,3,4,17,0,76,79,77,75,77,78,77,78,78,75,80,78,78,75,77,77,77,78,77,76,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
